Key,Duplicate,Semantic number,Scrape Name,Cleaned Name,Scrape Identifier,Object (what is it?),Year,Ety. type,2nd Ety. type,Etymology,Full Expansion/Phrase,1st Jargon,1st Jargon Type Connection,2nd Jargon,2nd Jargon Type Connection,END/RECURSIVE?,Explanation,Cultural Heritage (CH),CH Subclass,CH Last Class,Version Numbering?,Source,Additional Information,3rd Jargon,3rd Jargon Type Connection,4th Jargon,4th Jargon Type Connection
48,,1,GTK+,GTK+,GNU,Software,1998,Semi-Acronym,,Phrase,GIMP Toolkit,,,,,,,,,,,,,,,,
49,,1,GNUstep,GNUstep,GNU,Library,,Abbreviation,,Word,NeXTSTEP,NeXTSTEP,,GNU,,,,,,,,,,,,,
50,,1,Window Maker,Window Maker,GNU,Software,1997,Phrase,,Phrase,Window Maker,Windows,,,,,,,,,,,,,,,
51,,1,GNU Accounting Utils,GNU Accounting Utils,GNU,Software,,Abbreviation,,Word,,Utils,,GNU,,,,,,,,,,,,,
52,,1,GNU ddrescue,GNU ddrescue,GNU,Software,2004,Semi-Acronym,,Phrase,disk drive rescue,,,GNU,,UNSURE,,,,,,,,,,,
53,,1,GNU Emacs,GNU Emacs,GNU,,,,,,,,,,,,,,,,,,,,,,
54,,1,GNU fcrypt,GNU fcrypt,GNU,Software,unknown,Abbreviation,,Phrase,on the fly cryptography,,,GNU,,,,,,,,,,,,,
55,,1,GNU Guix,GNU Guix,GNU,Software,,Abbreviation,,Phrase,Guile nix,GNU Guile ,,nix,,,,,,,,,,,,,
56,,7,GNU libextractor,GNU libextractor,,,,,,,,,,,,,,,,,,,,,,,
57,,1,GNU Midnight Commander,GNU Midnight Commander,GNU,Software,1994,Phrase,,Phrase,Midnight Commander,Norten Commander,,GNU,,,Relates the idea of a ,,,,,,,,,,
58,,1,Mtools,Mtools,GNU,Software,,Semi-Acronym,,Phrase,Microsoft Tools,Microsoft,,,,,,,,,,,,,,,
59,,1,GNU nano,GNU nano,GNU,Software,2000,nano,,Word,,pico,Thematic,GNU,,,"nano' is 1000 times smaller than 'pico', another text editing software",,,,,,,,,,
60,,1,GNU parallel,GNU parallel,GNU,Software,,Word,,Word,parallel,,,GNU,,,,,,,,,,,,,
61,,1,GNU Parted,GNU Parted,GNU,Software,,Semi-Acronym,,Phrase,Partition Editor,,,,,,,,,,,,,,,,
62,,1,GNU Privacy Guard,GNU Privacy Guard,GNU,Software,,Phrase,,Phrase,Pricacy Guard,,,GNU,,,Functional descriptor,,,,,,,,,,
63,,1,GNU Privacy Assistant,GNU Privacy Assistant,,,,,,,,,,,,,,,,,,,,,,,
64,,1,GNU Stow ,GNU Stow ,,,,,,,,,,,,,,,,,,,,,,,
65,,9,PGP,,GNU,Software,,Acronym,,Phrase,Pretty Good Privacy,,,,,,,,,,,,,,,,
66,,1,pexec,pexec,GNU,Software,,Semi-Acronym,,Phrase,Parallel Execution,,,,,,,,,,,,,,,,
67,,1,GnowSys,GnowSys,GNU,Software,,Semi-Acronym,,Phrase,Gnowledge Networking and Organizing system,Gnowledge,,,,,,,,,,,,,,,
68,,1,GNU dbm (GDBM),GNU dbm (GDBM),GNU,Software,,Acronym,,,Database Management,,,GNU,,,,,,,,,,,,,
69,,1,GNU Ferret,GNU Ferret,GNU,Software,,Word,,Word,Ferret,,,GNU,,,,Animal,,,,,,,,,
70,,1,GNU Archimedes,GNU Archimedes,GNU,Software,,Phrase,,Phrase,Archimedes,,,GNU,,UNSURE,Refers to the Greek scientist Archimedes,,,,,,<bug-archimedes@gnu.org>.,,,,
71,,7,GNU Astronomy Utilities,GNU Astronomy Utilities,GNU,,,,,,,,,,,,,,,,,,,,,,
72,,7,GNU Circuit Analysis Package,GNU Circuit Analysis Package,GNU,Software,,Phrase,,Phrase,Circuit Analysis Package,,,GNU,,,,,,,,,,,,,
73,,7,GNU datamash,GNU datamash,GNU,,,,,,,,,,,,,,,,,,,,,,
74,,9,GNU Circuit Analysis Package,,,,,,,,,,,,,,,,,,,,,,,,
75,,1,GNU Electric,GNU Electric,GNU,Software,1983,Word,,Word,,,,GNU,,,Refers to the fact that it simulates integrated circuits,,,,,,,,,,
76,,1,MCSim,MCSim,GNU,Software,,Semi-Direct-Acronym,,Phrase,Monte Carlo Simulation,Monte Carlo,,GNU,,,,,,,,,,,,,
77,,1,GNU Multi-Precision Library,GNU Multi-Precision Library,GNU,Software,,Phrase,,Phrase,Multi-Precision Library,,,GNU,,,,,,,,,,,,,
78,,1,GNU Octave,GNU Octave,GNU,Software,,Word,,Word,Octave,,,GNU,,,"Dedicated to Octave Levenspiel, professor of the author of the software",,,,,,,,,,
79,,1,GNU Scientific Library,GNU Scientific Library,GNU,Software,,Phrase,,Phrase,Scientific Library,,,GNU,,,,,,,,,,,,,
80,,3,R,,,,,,,,,,,,,,,,,,,,,,,,
81,,1,GNU Units,GNU Units,GNU,Software,,Word,,Word,Units,,,GNU,,,,,,,,,,,,,
82,,1,PSPP,PSPP,GNU,Software,,Special,,Word,PSPP,SPSS,Inverts the letters in the acronym from which it originates from ,,,,,,,,,,,,,,
83,,10,GNU MediaGoblin 0.2.0,,GNU,Software,2011,Phrase,,Phrase,Media Goblin,,,,,,,,,,,,,,,,
84,,1,XaoS,XaoS,GNU,Software,,Abbreviation,,Word,Chaos,,,,,,"Refers to chaos theory, the thing the software is trying to display",,,,,,,,,,
85,,1,Dld,Dld,GNU,Software,,Semi-Direct-Acronym,,Phrase,Data Link Editing,,,,,,,,,,,,,,,,
86,,1,Jami,Jami,GNU,Software,,Word,,Word,Jami,,,,,,"Refers to the Swahili word 'jumuiya' according to website, though 'jami' in google translates to 'total'",YES,,,,https://jami.net/help/,,,,,
87,,7,GNU Alexandria,GNU Alexandria,GNU,,,,,,,,,,,,,,,,,,,,,,
88,,1,GNU Anubis,GNU Anubis,GNU,Software,,Word,,Word,Anubis,,,,,,"Refers to the Egyptian God of the Underworld, death",YES,,,,,,,,,
89,,1,GNU FM,GNU FM,GNU,Software,,Acronym,,Phrase,Frequency modulation,,,GNU,,,,Technology,,,,,,,,,
90,,1,GNU Mailman,GNU Mailman,GNU,Software,,Word,,Word,Mailman,,,GNU,,,Functional descriptor,,,,,,,,,,
91,,1,GNU MediaGoblin,GNU MediaGoblin,GNU,Software,2011,Word,,Word,MediaGoblin,,,GNU,,,,,,,,,,,,,
92,,7,GNU Artanis,GNU Artanis,GNU,,,,,,,,,,,,,,,,,,,,,,
93,,1,GNU Social,GNU Social,GNU,Software,,Word,,Word,Social,,,GNU,,,,,,,,,,,,,
94,,7,Gnu Sovix,Gnu Sovix,GNU,,,,,,,,,,,,,,,,,,,,,,
95,,1,wget,GNU wget,GNU,Software,,Word,,Word,wget,wget,,GNU,,,,,,,,,,,,,
96,,9,GNU IceCat,,GNU,Software,,Special,,Special,Ice cat,Firefox,,,,,"A play on words, where the opposite of fire is taken, along with another species/family of the mammalian carnivora family. See the naming controversy on wikipedia",Animal,,,,https://en.wikipedia.org/wiki/GNU_IceCat,,,,,
97,,1,GNUnet,GNUnet,GNU,Software,,Word,,Word,net,network,,GNU,,,,,,,,,,,,,
98,,1,Gnuzilla,Gnuzilla,GNU,Software,,Word,,Word,GNU Mozilla Firefox,Mozilla,,Firefox,,,,,,,,,,GNU,,,
99,,1,lsh,lsh,GNU,Software,,Word,,Word,L shell,shell,,,,UNSURE,,,,,,,,,,,
100,,1,LibreJS,GNU LibreJS,GNU,Software,,Phrase,,Phrase,Libre JavaScript,Libre,,JavaScript,,,,,,,,,,,,,
101,,1,GNU Taler,GNU Taler,GNU,Software,,Acronym,,Phrase,Taxable Anonymous Libre Economic Reserves,Libre,,GNU,,,"Note, that while it is an acronym, it also refers to the german 'Taler' coins",,,,,,,,,,
102,,7,GNU Pipo BBS,GNU Pipo BBS,GNU,,,,,,,,,,,,,,,,,,,,,,
103,,1,GNU Aspell,GNU Aspell,GNU,Software,,Word,,Word,Aspell,Ispell,,GNU,,,,,,,,,,,,,
104,,7,GNU gcal,GNU gcal,GNU,,,,,,,,,,,,,,,,,,,,,,
105,,7,GNU Miscfiles,GNU Miscfiles,GNU,,,,,,,,,,,,,,,,,,,,,,
106,,7,GNU Typist,GNU Typist,GNU,,,,,,,,,,,,,,,,,,,,,,
107,,1,Gnumeric,Gnumeric,GNU,Software,,Phrase,,Phrase,GNU Numeric,GNU,,,,,,,,,,,,,,,
108,,1,Ocrad,Ocrad,GNU,Software,,Acronym,,Phrase,OCR Alexander Diaz,OCR,,Alexander Diaz,Attribution,,,,,,,,,,,,
109,,1,3DLDF,3DLDF,GNU,Software,,Attribution,,Word,3D Laurence D. Finston,,,,,,,,,,,,,,,,
110,,1,Dia,Dia,GNU,Software,,Abbreviation,,Word,Diagramming,,,,,,,,,,,,,,,,
111,,1,GIMP,GIMP,GNU,Software,,,,,,,,,,,,,,,,,,,,,
112,,1,Gnash,Gnash,GNU,Software,,Phrase,,Phrase,GNU Flash,,,Flash,,,,,,,,,,,,,
113,,1,GNU LibreDWG,GNU LibreDWG,GNU,Software,,Semi-Acronym,,Phrase,Libre DWG,Libre,,DWG,,,,,,,,,,,,,
114,,1,GNU LilyPond,GNU LilyPond,GNU,Software,,Word,,,LilyPond,Rosegarden,Thematic,GNU,,,,Plant,,,,,,,,,
115,,7,Gnu Maverik,Gnu Maverik,GNU,,,,,,,,,,,,,,,,,,,,,,
116,,7,Gnu Panorama,Gnu Panorama,GNU,,,,,,,,,,,,,,,,,,,,,,
117,,7,GNU Backgammon,GNU Backgammon,GNU,,,,,,,,,,,,,,,,,,,,,,
118,,7,GNUbik,GNUbik,GNU,,,,,,,,,,,,,,,,,,,,,,
119,,1,GNU Chess,GNU Chess,GNU,Software,,Word,,Word,Chess,,,GNU,,,,Artifact,,,,,,,,,
120,,1,GNU Go,GNU Go,GNU,Software,,Word,,Word,Go,,,GNU,,,,Artifact,,,,,,,,,
121,,7,GNU Jump,GNU Jump,GNU,,,,,,,,,,,,,,,,,,,,,,
122,,7,GNU Kart,GNU Kart,GNU,,,,,,,,,,,,,,,,,,,,,,
123,,7,GNU Robots,GNU Robots,GNU,,,,,,,,,,,,,,,,,,,,,,
124,,1,GNU FreeDink,GNU FreeDink,GNU,Software,,Attribution,,Phrase,Free Dink Smallwood,,,GNU,,,Attribution is to a fictional character from a game,Artifact,,,,,,,,,
125,,1,Liquid War,Liquid War,GNU,Software,,,,,,,,,,,,,,,,,,,,,
126,,1,GNU Health,GNU Health,GNU,Software,,Word,,Word,Health,,,,,,,,,,,,,,,,
127,,1,GNUmed,GNUmed,GNU,Software,,Word,,Word,,,,GNU,,,,,,,,,,,,,
128,,1,GnuCash,GnuCash,GNU,Software,,Word,,Word,Cash,,,GNU,,,,,,,,,,,,,
129,,7,GNU remotecontrol,GNU remotecontrol,GNU,,,,,,,,,,,,,,,,,,,,,,
130,,7,GNU Foliot,GNU Foliot,GNU,,,,,,,,,,,,,,,,,,,,,,
131,,1,GNU.FREE,GNU.FREE,GNU,Software,,Word,,Word,FREE,,,GNU,,,,,,,,,,,,,
132,,3,GNU Taler,,GNU,Software,,,,,,,,,,,,,,,,,,,,,
133,,7,GNU Enterprise,GNU Enterprise,GNU,,,,,,,,,,,,,,,,,,,,,,
134,,10,GNU gcal,,GNU,Software,,Abbreviation,,Word,GNU calendar,GNU,,,,,,,,,,,,,,,
135,,10,Gnu Maverik,,GNU,Software,,,,,,,,,,UNSURE,,,,,,,hartmut.rosch@ewetel.net,,,,
136,,10,Gnu Panorama,,GNU,Software,,Word,,Word,Panorama,,,,,,,,,,,,,,,,
137,,10,GNU Robots,,GNU,Software,,Word,,Word,Robots,,,,,,,,,,,,,,,,
138,,10,GNU Kart,,GNU,Software,,Word,,Word,GoKart,,,,,,,,,,,,,,,,
139,,10,GNU Jump,,GNU,Software,,Word,,Word,Jump,Xjump,,,,,,,,,,,,,,,
140,,2,software packages,,GNU,,,,,,,,,,,,,,,,,,,,,,
141,,2,Free Software Foundation,,GNU,,,,,,,,,,,,,,,,,,,,,,
142,,2,GNU Project,,GNU,,,,,,,,,,,,,,,,,,,,,,
143,,2,Richard Stallman,,GNU,,,,,,,,,,,,,,,,,,,,,,
144,,2,Texinfo,,GNU,,,,,,,,,,,,,,,,,,,,,,
145,,2,GNU/Linux,,GNU,,,,,,,,,,,,,,,,,,,,,,
146,,2,GNU operating system,,GNU,,,,,,,,,,,,,,,,,,,,,,
147,,2,Unix,,GNU,OS,1969,Word,,Word,Unix,Muliplics,,,,,,,,,,,,,,,
148,,2,POSIX,,GNU,,,,,,,,,,,,,,,,,,,,,,
149,,2,plotutils,,GNU,,,,,,,,,,,,,,,,,,,,,,
150,,2,C standard library,,GNU,,,,,,,,,,,,,,,,,,,,,,
151,,2,ftp,,GNU,Software,,,,,,,,,,,,,,,,,,,,,
152,,2,kernel,,GNU,,,,,,,,,,,,,,,,,,,,,,
153,,2,Linux,,GNU,,,,,,,,,,,,,,,,,,,,,,
154,,2,source code,,GNU,,,,,,,,,,,,,,,,,,,,,,
155,,2,obfuscated,,GNU,,,,,,,,,,,,,,,,,,,,,,
156,,2,proprietary licenses,,GNU,,,,,,,,,,,,,,,,,,,,,,
157,,2,screen,,GNU,,,,,,,,,,,,,,,,,,,,,,
158,,2,texinfo,,GNU,,,,,,,,,,,,,,,,,,,,,,
159,,2,Gentoo,,GNU,,,,,,,,,,,,,,,,,,,,,,
160,,2,software developers,,GNU,,,,,,,,,,,,,,,,,,,,,,
161,,2,computer programmers,,GNU,,,,,,,,,,,,,,,,,,,,,,
162,,2,GNU toolchain,,GNU,,,,,,,,,,,,,,,,,,,,,,
163,,2,parser generator,,GNU,,,,,,,,,,,,,,,,,,,,,,
164,,2,compiler,,GNU,,,,,,,,,,,,,,,,,,,,,,
165,,2,programming languages,,GNU,,,,,,,,,,,,,,,,,,,,,,
166,,2,C++,,GNU,language,,,,,,,,,,,,,,,,,,,,,
167,,2,Fortran,,GNU,language,,,,,,,,,,,,,,,,,,,,,
168,,2,Ada,,GNU,language,,,,,,,,,,,,,,,,,,,,,
169,YES,2,Java,,GNU,programming language,,,,,,,,,,,,,,,,,,,,,
170,,2,debugger,,GNU,,,,,,,,,,,,,,,,,,,,,,
171,,2,libraries,,GNU,,,,,,,,,,,,,,,,,,,,,,
172,,2,software frameworks,,GNU,,,,,,,,,,,,,,,,,,,,,,
173,,2,Microsoft .NET,,GNU,,,,,,,,,,,,,,,,,,,,,,
174,,2,POSIX,,GNU,,,,,,,,,,,,,,,,,,,,,,
175,,2,C library,,GNU,,,,,,,,,,,,,,,,,,,,,,
176,YES,2,Java,,GNU,,,,,,,,,,,,,,,,,,,,,,
177,,2,Unicode,,GNU,,,,,,,,,,,,,,,,,,,,,,
178,,2,Bidirectional Algorithm,,GNU,,,,,,,,,,,,,,,,,,,,,,
179,,2,Object-Oriented,,GNU,,,,,,,,,,,,,,,,,,,,,,
180,YES,2,JavaScript,,GNU,,,,,,,,,,,,,,,,,,,,,,
181,,2,HTTP,,GNU,,,,,,,,,,,,,,,,,,,,,,
182,,2,just-in-time compilation,,GNU,,,,,,,,,,,,,,,,,,,,,,
183,,2,Session Initiation Protocol,,GNU,,,,,,,,,,,,,,,,,,,,,,
184,,2,POSIX,,GNU,,,,,,,,,,,,,,,,,,,,,,
185,,2,ANSI,,GNU,,,,,,,,,,,,,,,,,,,,,,
186,,2,Common Lisp,,GNU,language,,,,,,,,,,,,,,,,,,,,,
187,YES,2,Common Lisp,,GNU,,,,,,,,,,,,,,,,,,,,,,
188,,2,MIX,,GNU,,,,,,,,,,,,,,,,,,,,,,
189,,2,Pascal,,GNU,language,,,,,,,,,,,,,,,,,,,,,
190,,2,ANSI,,GNU,,,,,,,,,,,,,,,,,,,,,,
191,,2,Smalltalk,,GNU,language,,,,,,,,,,,,,,,,,,,,,
192,,2,MIT/GNU Scheme,,GNU,,,,,,,,,,,,,,,,,,,,,,
193,,2,Scheme programming language,,GNU,,,,,,,,,,,,,,,,,,,,,,
194,,2,MIT,,GNU,,,,,,,,,,,,,,,,,,,,,,
195,,2,Eiffel,,GNU,language,,,,,,,,,,,,,,,,,,,,,
196,YES,2,Forth,,GNU,,,,,,,,,,,,,,,,,,,,,,
197,,2,debugger front-end,,GNU,,,,,,,,,,,,,,,,,,,,,,
198,,2,active tier-style,,GNU,,,,,,,,,,,,,,,,,,,,,,
199,,2,automated code generation,,GNU,,,,,,,,,,,,,,,,,,,,,,
200,,2,flow graphs,,GNU,,,,,,,,,,,,,,,,,,,,,,
201,,2,C preprocessor,,GNU,,,,,,,,,,,,,,,,,,,,,,
202,,2,GUI,,GNU,,,,,,,,,,,,,,,,,,,,,,
203,,2,desktop environments,,GNU,,,,,,,,,,,,,,,,,,,,,,
204,,2,window managers,,GNU,,,,,,,,,,,,,,,,,,,,,,
205,,2,Cocoa,,GNU,,,,,,,,,,,,,,,,,,,,,,
206,,2,OpenStep,,GNU,,,,,,,,,,,,,,,,,,,,,,
207,,2,Emacs,,GNU,,,,,,,,,,,,,,,,,,,,,,
208,,2,text-based,,GNU,,,,,,,,,,,,,,,,,,,,,,
209,,2,TCAD,,GNU,,,,,,,,,,,,,,,,,,,,,,
210,,2,semiconductor device,,GNU,,,,,,,,,,,,,,,,,,,,,,
211,,2,EDA,,GNU,,,,,,,,,,,,,,,,,,,,,,
212,,2,schematics,,GNU,,,,,,,,,,,,,,,,,,,,,,
213,,2,integrated circuit,,GNU,,,,,,,,,,,,,,,,,,,,,,
214,,2,arbitrary precision,,GNU,,,,,,,,,,,,,,,,,,,,,,
215,,2,MATLAB,,GNU,language,,,,,,,,,,,,,,,,,,,,,
216,,2,Mail User Agent,,GNU,,,,,,,,,,,,,,,,,,,,,,
217,,2,Mail Transport Agent,,GNU,,,,,,,,,,,,,,,,,,,,,,
218,,2,Libre.fm,,GNU,,,,,,,,,,,,,,,,,,,,,,
219,,2,distributed social network,,GNU,,,,,,,,,,,,,,,,,,,,,,
220,,2,PHP,,GNU,,,,,,,,,,,,,,,,,,,,,,
221,,2,Mozilla Application Suite,,GNU,,,,,,,,,,,,,,,,,,,,,,
222,,2,free software,,GNU,,,,,,,,,,,,,,,,,,,,,,
223,,2,Secure Shell,,GNU,,,,,,,,,,,,,,,,,,,,,,
224,,2,browser add-on,,GNU,,,,,,,,,,,,,,,,,,,,,,
225,,2,JavaScript,,GNU,language,,,,,,,,,,,,,,,,,,,,,
226,,2,BBS,,GNU,,,,,,,,,,,,,,,,,,,,,,
227,,2,Ispell,,GNU,,,,,,,,,,,,,,,,,,,,,,
228,,2,Microsoft Excel,,GNU,,,,,,,,,,,,,,,,,,,,,,
229,,2,optical character recognition,,GNU,,,,,,,,,,,,,,,,,,,,,,
230,,2,TeX,,GNU,language,,,,,,,,,,,,,,,,,,,,,
231,,2,Photoshop,,GNU,,,,,,,,,,,,,,,,,,,,,,
232,,2,browser plugin,,GNU,,,,,,,,,,,,,,,,,,,,,,
233,,2,Adobe Flash,,GNU,,,,,,,,,,,,,,,,,,,,,,
234,,2,.dwg,,GNU,,,,,,,,,,,,,,,,,,,,,,
235,,2,CAD,,GNU,,,,,,,,,,,,,,,,,,,,,,
236,,2,Virtual Reality,,GNU,,,,,,,,,,,,,,,,,,,,,,
237,,2,backgammon,,GNU,,,,,,,,,,,,,,,,,,,,,,
238,,2,Rubik's Cube,,GNU,,,,,,,,,,,,,,,,,,,,,,
239,,2,chess engine,,GNU,,,,,,,,,,,,,,,,,,,,,,
240,,2,glChess,,GNU,,,,,,,,,,,,,,,,,,,,,,
241,,2,Xboard,,GNU,,,,,,,,,,,,,,,,,,,,,,
242,,2,Dink Smallwood,,GNU,,,,,,,,,,,,,,,,,,,,,,
243,,2,building automation,,GNU,,,,,,,,,,,,,,,,,,,,,,
244,,2,enterprise planning software,,GNU,,,,,,,,,,,,,,,,,,,,,,
245,,3,GNU Guile,,GNU,,,,,,,,,,,,,,,,,,,,,,
246,,3,linux-libre,,GNU,,,,,,,,,,,,,,,,,,,,,,
247,,10,bash,,GNU,,,,,,,,,,,,,,,,,,,,,,
248,,10,coreutils,,GNU,,,,,,,,,,,,,,,,,,,,,,
249,,10,chgrp,,GNU,,,,,,,,,,,,,,,,,,,,,,
250,,10,chown,,GNU,,,,,,,,,,,,,,,,,,,,,,
251,,10,chmod,,GNU,,,,,,,,,,,,,,,,,,,,,,
252,,10,dir,,GNU,,,,,,,,,,,,,,,,,,,,,,
253,,10,mkdir,,GNU,,,,,,,,,,,,,,,,,,,,,,
254,,10,mkfifo,,GNU,,,,,,,,,,,,,,,,,,,,,,
255,,10,mknod,,GNU,,,,,,,,,,,,,,,,,,,,,,
256,,10,cat,,GNU,,,,,,,,,,,,,,,,,,,,,,
257,,10,cksum,,GNU,,,,,,,,,,,,,,,,,,,,,,
258,,10,head,,GNU,,,,,,,,,,,,,,,,,,,,,,
259,,10,tail,,GNU,,,,,,,,,,,,,,,,,,,,,,
260,,10,md5sum,,GNU,,,,,,,,,,,,,,,,,,,,,,
261,,10,tsort,,GNU,,,,,,,,,,,,,,,,,,,,,,
262,,10,join,,GNU,,,,,,,,,,,,,,,,,,,,,,
263,,10,tac,,GNU,,,,,,,,,,,,,,,,,,,,,,
264,,10,paste,,GNU,,,,,,,,,,,,,,,,,,,,,,
265,,10,basename,,GNU,,,,,,,,,,,,,,,,,,,,,,
266,,10,chroot,,GNU,,,,,,,,,,,,,,,,,,,,,,
267,,10,date,,GNU,,,,,,,,,,,,,,,,,,,,,,
268,,10,dirname,,GNU,,,,,,,,,,,,,,,,,,,,,,
